customer_id,first_name,last_name,email,gender,date_of_birth,registration_date,last_purchase_date
1,FirstName1,LastName1,customer1@example.com,Female,1965-04-04,2023-11-13,2024-10-26
2,FirstName2,LastName2,customer2@example.com,Female,1991-08-04,2023-11-19,2024-10-22
3,FirstName3,LastName3,customer3@example.com,Female,2000-11-07,2024-07-31,2024-10-25
4,FirstName4,LastName4,customer4@example.com,Female,1974-01-07,2024-08-26,2024-11-06
5,FirstName5,LastName5,customer5@example.com,Male,1979-08-22,2024-01-16,2024-10-21
6,FirstName6,LastName6,customer6@example.com,Male,1992-09-04,2024-01-04,2024-10-23
7,FirstName7,LastName7,customer7@example.com,Male,1969-01-08,2024-05-23,2024-10-23
8,FirstName8,LastName8,customer8@example.com,Female,1964-04-07,2024-02-21,2024-11-03
9,FirstName9,LastName9,customer9@example.com,Female,1962-01-16,2024-01-15,2024-10-16
10,FirstName10,LastName10,customer10@example.com,Male,1997-05-21,2023-12-03,2024-10-14
11,FirstName11,LastName11,customer11@example.com,Female,2001-09-20,2024-01-02,2024-10-29
12,FirstName12,LastName12,customer12@example.com,Female,1982-08-27,2024-07-04,2024-10-21
13,FirstName13,LastName13,customer13@example.com,Male,1984-11-01,2023-11-14,2024-11-01
14,FirstName14,LastName14,customer14@example.com,Female,1985-11-11,2024-09-14,2024-10-24
15,FirstName15,LastName15,customer15@example.com,Male,2003-08-11,2024-08-10,2024-11-04
16,FirstName16,LastName16,customer16@example.com,Male,1999-07-01,2023-12-16,2024-11-01
17,FirstName17,LastName17,customer17@example.com,Female,1990-02-12,2024-03-20,2024-11-05
18,FirstName18,LastName18,customer18@example.com,Male,1977-02-13,2024-05-16,2024-11-04
19,FirstName19,LastName19,customer19@example.com,Female,1964-11-23,2024-03-26,2024-11-04
20,FirstName20,LastName20,customer20@example.com,Male,1989-06-19,2024-04-30,2024-10-23
21,FirstName21,LastName21,customer21@example.com,Female,1985-11-29,2024-01-07,2024-11-07
22,FirstName22,LastName22,customer22@example.com,Female,1987-08-26,2023-12-13,2024-10-30
23,FirstName23,LastName23,customer23@example.com,Female,1962-06-17,2023-11-10,2024-10-26
24,FirstName24,LastName24,customer24@example.com,Female,1994-03-28,2023-12-05,2024-10-22
25,FirstName25,LastName25,customer25@example.com,Male,1966-10-08,2024-01-30,2024-10-28
26,FirstName26,LastName26,customer26@example.com,Male,1990-11-30,2024-02-15,2024-11-01
27,FirstName27,LastName27,customer27@example.com,Male,1995-06-03,2024-02-27,2024-10-20
28,FirstName28,LastName28,customer28@example.com,Male,1971-07-01,2023-11-14,2024-10-18
29,FirstName29,LastName29,customer29@example.com,Male,1985-03-12,2024-03-29,2024-10-13
30,FirstName30,LastName30,customer30@example.com,Male,1962-12-01,2024-09-17,2024-10-24
31,FirstName31,LastName31,customer31@example.com,Female,1988-06-15,2023-12-29,2024-11-04
32,FirstName32,LastName32,customer32@example.com,Male,1999-01-22,2024-08-31,2024-10-17
33,FirstName33,LastName33,customer33@example.com,Female,1987-09-29,2024-06-04,2024-10-30
34,FirstName34,LastName34,customer34@example.com,Male,2004-04-23,2023-12-16,2024-10-09
35,FirstName35,LastName35,customer35@example.com,Female,1985-06-26,2024-06-21,2024-10-22
36,FirstName36,LastName36,customer36@example.com,Male,1972-11-18,2024-09-08,2024-10-31
37,FirstName37,LastName37,customer37@example.com,Male,1994-05-02,2024-04-20,2024-11-04
38,FirstName38,LastName38,customer38@example.com,Male,1986-12-17,2024-09-24,2024-10-21
39,FirstName39,LastName39,customer39@example.com,Female,1969-07-20,2024-05-25,2024-10-27
40,FirstName40,LastName40,customer40@example.com,Female,1988-03-04,2024-01-25,2024-11-01
41,FirstName41,LastName41,customer41@example.com,Male,1984-03-02,2024-09-10,2024-10-27
42,FirstName42,LastName42,customer42@example.com,Female,2000-04-11,2024-05-17,2024-11-03
43,FirstName43,LastName43,customer43@example.com,Male,1981-12-23,2024-08-22,2024-10-17
44,FirstName44,LastName44,customer44@example.com,Female,1995-11-06,2024-07-31,2024-11-07
45,FirstName45,LastName45,customer45@example.com,Male,1996-12-05,2023-12-21,2024-10-12
46,FirstName46,LastName46,customer46@example.com,Male,1960-12-10,2024-07-15,2024-10-20
47,FirstName47,LastName47,customer47@example.com,Male,1967-01-28,2024-09-23,2024-10-10
48,FirstName48,LastName48,customer48@example.com,Male,1960-08-25,2024-07-07,2024-10-14
49,FirstName49,LastName49,customer49@example.com,Male,1982-01-18,2024-04-20,2024-10-14
50,FirstName50,LastName50,customer50@example.com,Female,1987-12-07,2024-04-01,2024-10-13
51,FirstName51,LastName51,customer51@example.com,Male,1987-03-09,2024-07-28,2024-10-12
52,FirstName52,LastName52,customer52@example.com,Male,2001-12-12,2024-06-28,2024-11-04
53,FirstName53,LastName53,customer53@example.com,Female,1997-10-13,2024-07-04,2024-10-25
54,FirstName54,LastName54,customer54@example.com,Female,1969-08-03,2024-03-17,2024-10-31
55,FirstName55,LastName55,customer55@example.com,Female,1978-11-29,2024-07-27,2024-10-11
56,FirstName56,LastName56,customer56@example.com,Female,1960-11-20,2024-03-05,2024-11-07
57,FirstName57,LastName57,customer57@example.com,Male,1986-12-29,2024-01-16,2024-10-24
58,FirstName58,LastName58,customer58@example.com,Male,1984-07-15,2023-12-28,2024-10-30
